#autor,#Titulo,#Paginas,#ISBN,#Gênero,#Editora,#estaEmprestado,#Pais
Albert Camus,O Estrangeiro,66,2871251,Clássico,Globo Livros,true,Argélia
Alexandre Dumas,O Conde de Monte Cristo,147,2970387,Aventura,Zahar,true,França
Aluísio Azevedo,O cortiço,510,1397423,Clássico,Cia das Letras,true,Brasil
Andre Aciman,Me chame pelo seu nome,208,3867953,Jovem Adulto,L&PM,false,Egito
Anne Frank,O Diario de Anne Frank,403,8631478,Holocausto,Globo Livros,false,Holanda
Brian Selznik,A invenção de Hugo Cabret,552,7292671,Infantil,Cia das Letras,false,Estados Unidos
Dan Bronw,Anjos e Demônios,372,9167390,Suspense,Arqueiro,false,Estados Unidos
Gabriel Garcia Marquez,Cem Anos de Solidão,641,767238,Clássico,Globo Livros,false,Colômbia
George R. R. Martin,A Dança dos Dragões,415,4826002,Guerra,Leya,false,Estados Unidos
George R. R. Martin,A Furia dos Reis,249,4612958,Guerra,Leya,false,Estados Unidos
George R. R. Martin,A Guerra dos Tronos,629,2773508,Guerra,Leya,false,Estados Unidos
George R. R. Martin,A Tormenta das Espadas,525,1593526,Guerra,Leya,false,Estados Unidos
George R. R. Martin,O Festim dos Corvos,116,4296362,Guerra,Leya,false,Estados Unidos
Goethe,O sofrimento do Jovem Wether,397,3113921,Clássico,Globo Livros,false,Alemanha
Graciliano Ramos,Vidas Secas,423,7656632,Clássico,Arqueiro,false,Brasil
Harper Lee,O sol é para todos,300,2006292,Clássico,L&PM,false,Estados Unidos
Isabel Allende,A Casa dos Espiritos,251,4947079,Realismo,Atica,false,Chile
J. K. Rowling,Harry Potter e a Pedra Filosofal,17,1767638,Fantasia,Rocco,false,Inglaterra
J. K. Rowling,Harry Potter e a Câmara Secreta,257,7688733,Fantasia,Rocco,false,Inglaterra
J. K. Rowling,Harry Potter e o Prisioneiro de Askaban,169,6725516,Fantasia,Rocco,false,Inglaterra
J. K. Rowling,Harry Potter e o Cálice de Fogo,525,5286163,Fantasia,Rocco,false,Inglaterra
J. K. Rowling,Harry Potter e a Ordem da Fênix,273,5171643,Fantasia,Rocco,false,Inglaterra
J. K. Rowling,Harry Potter e o Enigma do Principe,620,7629021,Fantasia,Rocco,false,Inglaterra
J. K. Rowling,Harry Potter e as Reliquias da Morte,542,4474305,Fantasia,Rocco,false,Inglaterra
Jane Austen,Persuasão,663,885853,Clássico,Cia das Letras,false,Inglaterra
Jane Austen,Orgulho e Preconceito,674,795156,Clássico,Atica,false,Inglaterra
John Boyne,O menino do Pijama Listrado,196,8692221,Holocausto,Record,false,Irlanda
John Green,Tartarugas até lá embaixo,395,6811945,Jovem Adulto,L&PM,false,Estados Unidos
John Green,A Culpa é das Estrelas,322,8835426,Jovem Adulto,Arqueiro,false,Estados Unidos
Jorge Amado,Capitães de Areia,86,5084757,Clássico,L&PM,false,Brasil
José de Alencar,Senhora,265,4559634,Clássico,Globo Livros,false,Brasil
José de Alencar,Iracema,397,6979506,Clássico,Arqueiro,false,Brasil
Josh Malerman,Caixa de Pássaros,372,5666111,Suspense,Cia das Letras,false,Estados Unidos
Josten Gaarder,O Mundo de Sofia,54,2740136,Filosofia,Atica,false,Noruega
Julio Verne,Viagem ao centro da Terra,506,5603052,Aventura,Record,false,França
